country_code,human_development,beer_capita,wine_capita
ALB,782.000000,89.000000,54.000000
ARE,862.000000,16.000000,5.000000
ARG,822.000000,193.000000,221.000000
ARM,749.000000,21.000000,11.000000
AUS,938.000000,261.000000,212.000000
AUT,906.000000,279.000000,191.000000
AZE,757.000000,21.000000,5.000000
BEL,915.000000,295.000000,212.000000
BGR,810.000000,231.000000,94.000000
BHR,846.000000,42.000000,7.000000
BIH,766.000000,76.000000,8.000000
BLR,805.000000,142.000000,42.000000
BLZ,709.000000,263.000000,8.000000
BOL,689.000000,167.000000,8.000000
BRA,758.000000,245.000000,16.000000
BWA,712.000000,173.000000,35.000000
CAN,922.000000,240.000000,100.000000
CHE,943.000000,185.000000,280.000000
CHL,842.000000,130.000000,172.000000
CHN,748.000000,79.000000,8.000000
CMR,553.000000,147.000000,4.000000
COL,747.000000,159.000000,3.000000
COM,502.000000,1.000000,1.000000
CRI,791.000000,149.000000,11.000000
CYP,867.000000,192.000000,113.000000
DEU,934.000000,346.000000,175.000000
DNK,928.000000,224.000000,278.000000
DOM,733.000000,193.000000,9.000000
ECU,749.000000,162.000000,3.000000
EGY,694.000000,6.000000,1.000000
ESP,889.000000,284.000000,112.000000
EST,868.000000,224.000000,59.000000
FIN,918.000000,263.000000,97.000000
FRA,899.000000,127.000000,370.000000
GAB,698.000000,347.000000,59.000000
GBR,920.000000,219.000000,195.000000
GEO,776.000000,52.000000,149.000000
GHA,588.000000,31.000000,10.000000
GRC,868.000000,133.000000,218.000000
GTM,649.000000,53.000000,2.000000
HND,614.000000,69.000000,2.000000
HRV,828.000000,230.000000,254.000000
HTI,496.000000,1.000000,1.000000
HUN,835.000000,234.000000,185.000000
IRL,934.000000,313.000000,165.000000
ISL,933.000000,233.000000,78.000000
ISR,902.000000,63.000000,9.000000
ITA,878.000000,85.000000,237.000000
JAM,732.000000,82.000000,9.000000
JOR,735.000000,6.000000,1.000000
JPN,907.000000,77.000000,16.000000
KAZ,797.000000,124.000000,12.000000
KEN,585.000000,58.000000,2.000000
KGZ,669.000000,31.000000,6.000000
LBN,753.000000,20.000000,31.000000
LTU,855.000000,343.000000,56.000000
LUX,904.000000,236.000000,271.000000
LVA,844.000000,281.000000,62.000000
MAR,662.000000,12.000000,10.000000
MD,697.000000,109.000000,18.000000
MEX,772.000000,238.000000,5.000000
MKD,756.000000,106.000000,86.000000
MLI,421.000000,5.000000,1.000000
MLT,875.000000,149.000000,120.000000
MNE,810.000000,31.000000,128.000000
MNG,743.000000,77.000000,8.000000
MUS,788.000000,98.000000,18.000000
MWI,474.000000,8.000000,1.000000
NAM,645.000000,376.000000,1.000000
NGA,530.000000,42.000000,2.000000
NIC,657.000000,78.000000,1.000000
NLD,928.000000,251.000000,190.000000
NOR,951.000000,169.000000,129.000000
NZL,915.000000,203.000000,175.000000
PAN,785.000000,285.000000,18.000000
PER,748.000000,163.000000,21.000000
PHL,696.000000,71.000000,1.000000
POL,860.000000,343.000000,56.000000
PRT,845.000000,194.000000,339.000000
PRY,702.000000,213.000000,74.000000
QAT,855.000000,1.000000,7.000000
ROU,807.000000,297.000000,167.000000
RUS,815.000000,247.000000,73.000000
SEN,499.000000,9.000000,7.000000
SGP,930.000000,60.000000,11.000000
SLE,413.000000,25.000000,2.000000
SLV,679.000000,52.000000,2.000000
SRB,785.000000,283.000000,127.000000
SUR,719.000000,128.000000,7.000000
SVK,853.000000,196.000000,116.000000
SVN,894.000000,270.000000,276.000000
SWE,932.000000,152.000000,186.000000
THA,748.000000,99.000000,1.000000
TKM,705.000000,19.000000,32.000000
TTO,785.000000,197.000000,7.000000
TUN,732.000000,51.000000,20.000000
TUR,787.000000,51.000000,7.000000
UKR,746.000000,206.000000,45.000000
UMI,922.000000,249.000000,84.000000
URY,802.000000,115.000000,220.000000
UZB,703.000000,25.000000,8.000000
VEN,766.000000,333.000000,3.000000
ZAF,696.000000,225.000000,81.000000
ZMB,586.000000,32.000000,4.000000
ZWE,532.000000,64.000000,4.000000
